InstanceID	N1	N2	N3	N4	N5	X	Z	Class
477	6026.168415359786	7069.7295856341625	7978.991561102064	5331.679261955868	2451.1017255030943	13972.43997118962	19483.084665691415	5.2
421	5545.740088132031	7737.752307813202	8362.276798732046	5142.5014152285985	3074.1863638730515	13497.586385922756	18097.061521562853	0.2
178	7954.913282697229	8926.964320757601	9684.206523939883	6414.953951287947	2970.2533818178094	16213.178096630832	23227.276860933875	4.3
576	5827.851472046545	3940.562293774594	5208.090086377151	3544.5227515549113	2123.1613453270134	9229.277032575716	13599.024213424182	2.8
387	5906.967425264222	7836.126577246238	9067.037133873597	5617.180940580566	2660.854270798254	13862.908237696634	19058.565101884436	2.1
183	5570.417521942951	3984.16673822447	4551.893147086654	3614.765747707579	1820.2685381436613	7766.126306484108	12818.467139722596	5.9
606	8739.868753583653	7086.738540770501	9052.407585463736	6275.06174500614	3510.4558150644143	15845.301532296555	22320.481646045748	2.5
212	7301.917499941866	8170.32788154235	8379.125912303845	6119.811637689336	2884.234059007899	15349.986916223157	20866.026682781998	3.2
617	7750.116181884158	6731.693148537486	7427.043454887214	5523.282501499196	2977.039389101188	13132.545061056411	19022.172722100393	1.6
433	7619.4239311248575	8514.020658777383	8930.521621171674	5836.956252174734	2649.481363618017	15673.959518578542	21500.189970956908	3.3
398	5004.345085283367	4291.162713929983	4806.175621111007	3208.509773900098	1470.6461406617968	7606.312791229663	12980.431849775694	1.0
145	6220.82420541587	4690.118369227462	5995.046335350466	4276.451650888766	2365.40642045125	10056.323159140396	14966.165289780689	0.9
3	8090.539819604995	8733.773691182389	9742.043002566399	6279.664353065051	2778.550700406217	16058.56306915484	22662.148243732758	3.2
316	7537.1470840904385	7883.803409508369	9016.614312493668	6352.357334731576	2809.9346866541778	15581.994972273902	22041.986955490804	5.2
153	8596.72856564787	7702.430352032858	8584.854980631859	6416.299103903212	3419.5198734091273	14580.100204428089	21374.495072341666	0.6
616	7926.182277137704	7345.357917677736	7871.635281028486	6230.633194386092	3197.9908943542578	14331.455458675651	20340.33912719121	0.6
284	8808.271079443259	8875.753733827918	9824.136698312179	6964.278331409251	3410.82757267913	16651.558563010738	23628.320162569602	3.5
