InstanceID	N1	N2	N3	N4	N5	X	Z	Class
477	132.01601623353903	79.73699820888388	203.3480894377996	137.78986240809422	88.44083935171231	304.70785672586794	871.1798430957782	5.2
421	355.87772462859436	249.47434735907103	387.33822057283584	305.7480638832995	285.77021134755756	514.0603038007637	1066.8381317624917	0.2
178	177.1125398229118	73.13075753273222	206.4423429546893	165.77071626086357	91.23236877992306	346.0818866036027	891.4031792064694	4.3
576	252.72298509721224	151.57531557271764	272.64937520746946	259.5027104708089	217.4667371502978	428.89734245217056	836.3908012243173	2.8
387	300.6962776632602	214.5883074830849	308.1137997941839	297.91492046005794	250.0562613752621	473.7215642950102	891.9276034657897	2.1
183	101.55231340633011	49.521150573160305	140.60296609114317	127.40525622559464	51.86062512503443	286.4820997815992	810.449123434618	5.9
606	296.0677324844297	189.70980938740013	274.81535406838236	256.9719226584303	216.77014985614127	455.26178219910315	860.8026668968022	2.5
212	247.05838522503507	141.374483191282	204.12721101977314	222.22499260378748	174.31848552114502	421.801680868357	832.8654564819317	3.2
617	327.239198009625	234.15253901995024	304.6482576434649	315.0135146445111	288.272231407856	496.9357089592857	929.5640775966747	1.6
433	193.2748898080516	102.37151488590982	176.35866003793504	176.197101523783	122.81258054369485	369.76458526954195	791.3783003112638	3.3
398	308.95037805678066	229.23254144131008	377.8104333776276	292.25889374135556	257.12105412466497	455.1120354997547	983.4806402106641	1.0
145	285.5712264629997	226.59180913836164	372.5191597486697	288.9899222188684	265.22194408288624	445.7446831472209	942.3162672386079	0.9
3	173.71965754023577	85.90832376356984	140.44802697524702	169.44953462880716	99.2068571977673	350.8555017403241	760.6945476293813	3.2
316	121.93501259380734	54.092719171829614	142.51175762351122	121.46610613996971	44.61993634147988	288.3630526455381	828.2883525187768	5.2
153	339.75910891167496	234.38547646766574	420.26613682327155	315.2396225814982	265.21668409752203	506.9150258625181	1071.695055932752	0.6
616	281.7688602266939	221.8462690125248	385.9345255735479	286.1883125039383	256.64871959987727	475.77107236278187	1002.6195243593935	0.6
284	154.5550256085439	84.71272353737429	134.54942961262563	144.46615831053913	77.73935409643754	309.9120925404666	713.6420398178589	3.5
494	106.10845860374877	41.4018691625708	150.44200001915647	113.23939607150858	57.182823113802044	272.05997014614155	840.9673756559782	5.3
