ReliefF Analysis Completed with ExSTraCS
Run Time (sec):22.709997415542603
=== SCORES ===
M0P1	0.029965277777777778	1
M1P1	0.024756944444444446	2
M1P0	0.0246875	3
M0P0	0.020972222222222222	4
N5	0.0037847222222222223	5
N1	0.0011111111111111111	6
N13	0.000625	7
N2	-0.0004861111111111111	8
N4	-0.0005208333333333333	9
N11	-0.0005555555555555556	10
N6	-0.0021875	11
N7	-0.0024305555555555556	12
N9	-0.0029861111111111113	13
N14	-0.0035069444444444445	14
N10	-0.003923611111111111	15
N0	-0.003958333333333334	16
N8	-0.004270833333333333	17
N3	-0.004826388888888889	18
N12	-0.0061805555555555555	19
N15	-0.0069791666666666665	20
