InstanceID	N1	X	N2	Class
31	1295.9567051194897	2466.6102851167598	1046.7467379310058	58.0
432	1079.896533808768	2030.4469164667435	719.3063790024196	134.0
200	925.1158863690691	1777.735882366487	873.8927779495922	8.0
23	1235.3548147954423	2241.2123365741027	875.4828027114066	98.0
348	775.58409265279	1770.6927354244112	846.1808125697929	12.0
89	645.1335934001265	1450.837718892106	428.97665365310877	176.0
318	882.3074300456693	1704.884339783889	656.218153366525	162.0
3	1178.2521878094574	2337.0652868143293	964.6098027749691	46.0
261	1127.7923029456347	2056.545282800063	777.1493375561618	130.0
354	1001.7523642947666	2079.569111272946	905.4989471605469	84.0
305	925.9515040132309	1735.6663257971245	898.722613553756	2.0
208	794.7444646076073	1690.1003781594286	536.5321860869178	162.0
350	960.2810861756881	1791.183748476952	627.4835224800801	166.0
414	619.0326383941724	1582.4008489936527	675.3068362824264	12.0
375	862.7623048330609	1640.8144578446254	612.5820721610622	168.0
202	1206.763742608313	2352.350338133069	973.1150174660161	54.0
347	755.6203005984052	1574.0284767477626	511.3288383553566	174.0
269	1116.0424208537047	2191.7432224777676	792.1606496347209	116.0
67	1138.7538592729543	2230.646768999255	862.3007179946726	122.0
215	1053.3017898478347	2098.478514771962	874.7250652847657	68.0
379	1241.3408084388425	2270.2530592034955	928.9477558542904	84.0
405	730.7061684156705	1778.3627645358076	593.1737498210358	132.0
429	640.0266818514627	1171.7549399552154	434.3388735458284	198.0
406	930.6850390491824	1725.1351372678216	619.1799031810399	172.0
210	847.9653157132386	1518.7847458365525	601.3205631388902	182.0
336	876.2101723193659	1553.7935767359397	651.1752191202731	186.0
358	1109.3018763524267	2160.3922066843097	920.1765317212025	70.0
225	1298.9344144759903	2409.7567487988117	973.9318410872203	114.0
197	582.1010048330265	1144.2747873460205	428.2900143050131	200.0
80	672.5661227629303	1617.856383255125	515.4804872143187	176.0
50	865.0696387832731	1452.6055850588743	642.6709256788274	196.0
219	889.4697815442888	2002.9042705416978	842.6091303971954	128.0
214	1036.292665859735	2065.7564725124394	913.7087374783223	22.0
29	861.5727845777166	1935.6938149053124	828.8081738592255	122.0
