InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N!!	X	Class
1304	243.830202997973	506.13498733633344	1138.2617225818872	451.851111780918	262.62986460953067	820.1968735625528	546.0095968885751	566.7342096040182	319.5042981320705	282.9005512735653	314.723055602359	539.5987081714644	2615.3094038613763	1.35
715	159.6289789084807	308.5666128565901	997.8980690904152	331.61787717002795	194.75674178035845	569.2767935054325	436.23038464586097	376.5112705907326	302.5979870596638	272.61224304835974	255.27792757469217	514.4166197086031	2381.7092205958365	-1.38
1320	402.55649013997646	669.8793353298436	3236.090741692338	1001.5313464534132	843.9245258595206	2027.5565887390915	1118.5045958725982	1848.918265954024	2061.9443762722494	424.103746586047	1277.929299916209	1686.1894616469303	6322.020596962377	1.01
298	328.42132332433243	528.3956729011369	3550.6288658148	1042.989933600185	1062.4447526413132	2339.0295445069314	1184.832877962997	1999.0140184703914	2229.7127621000873	414.2213869441027	1558.3044217122742	2398.7286898842303	7537.6764152901915	1.35
381	298.84495747210235	449.1276890263319	2739.2265964231356	998.3208496403246	985.3477492148618	1884.820211804231	1126.3451265013457	1333.7661263080363	1585.1434924200662	345.98825033534365	1404.4082212450087	1741.3558011260684	6595.244680771783	-1.37
1107	274.599890059225	503.71227773943633	1608.109578337366	524.3858916492009	485.1994380838318	1119.9399155367896	627.6898253798978	1385.9144259980237	1131.492348366003	271.1630847112092	731.1474444686861	1484.646690660344	3371.55632817017	1.08
1268	215.7885753052971	396.9323117773902	1241.4341738120002	366.68738931722214	259.38192518556474	697.4243745335921	593.427362004239	509.70767717481124	373.9431717548007	351.4891309430769	366.7566473794126	678.611865414474	3101.9275716377247	-1.33
1125	399.54291371625146	802.8840157453669	3939.763115348623	1147.7514207833283	1121.3578860515859	2604.3302974388207	1342.100263318233	2591.9536133189304	2423.9094236146625	429.7511021228608	1743.0815396905766	2791.277874183363	8616.376248377746	1.18
419	430.39113892677364	689.3617499417846	3797.9834233536185	1197.6071697077848	1082.7173894227367	2464.654673595271	1208.887482157107	2315.030190606921	2467.0711034309616	389.91685873800463	1738.908455582968	2753.5915210424214	8302.728696551081	-1.08
749	410.7764133233542	689.3972825598711	3910.669447156945	1167.1570834356896	1127.431955700385	2557.476241802771	1358.8107639139992	2347.4081766675718	2479.251693935951	460.317755962607	1735.7162619088997	2836.4179296904854	8444.505678759875	-0.98
184	408.39846591218486	557.3334481871017	3181.3496052527635	1070.3616378276754	1118.4651381571887	2244.711749088761	1107.0169510634826	2237.6481214369082	2308.5899367451757	340.17173223413994	1666.9609349516525	2532.1480591686945	6609.191154959228	0.48
1345	91.49831699558814	236.07671425583473	826.4904608300859	409.16869198328897	383.72642902375117	680.3620360224899	481.04700670145536	432.71210127628046	498.6070611428347	227.826676667283	406.711794549083	473.5517321814946	2377.495447146337	-1.39
1043	376.9525901321255	670.7679893930415	3387.3792861138113	1097.6469217144218	1079.1233186999718	2355.3674912774477	1260.74247923611	2245.31808318331	2374.14279437862	385.0646131159794	1683.277088953215	2584.057630458381	7291.184138405096	-0.92
307	423.5984211078251	573.6717181318189	3078.7029084792093	1128.7617295814002	1163.3438551197319	2173.0875061348524	1225.5529412959809	1495.7924029087155	1848.6428939701082	482.77651965299594	1599.9766480781125	1900.0717757035875	7069.084006337292	0.62
1191	232.19973317850398	283.51737506986626	1124.7221294445899	356.16672769520034	241.55042619986267	644.6605261372705	556.1937803718055	438.422809062893	311.5710249641689	305.61855750471824	305.6541542970219	577.6661192977424	2620.518696474893	1.32
982	308.1864200345653	361.8054898716706	1421.6979290839581	574.7317367916202	610.9939146712495	1248.6673165283426	622.2663595296699	892.7820983887768	1011.2845744948776	306.40103868733456	912.7840343428326	1085.2035646547922	3341.644620890813	-0.04
271	343.65939535143525	577.9089880931566	3302.413145474796	1060.807622153419	1066.1958673369352	2313.6176869728756	1160.5776492398163	2136.1116900099933	2405.1753414827513	383.97945516482423	1626.548199321729	2522.7891774068216	6964.096847728705	-0.84
1190	324.2110334338977	594.981894488873	2018.7496113217103	491.19214653488575	330.7398404728693	1027.6353889996017	749.1583009289524	1362.7282242260917	972.7928385098882	358.9435792021461	530.9496653792029	1496.8251302885676	4086.2538472220326	0.95
