InstanceID	N0	N1	X	N2	Class
67	2301.1306566932703	2340.6383718348307	3560.3868971349652	2994.4044611860213	0.141120008
158	2103.6007302230782	2145.415248062161	3414.578460650017	2794.3214541381985	0.412118485
368	1169.4229593199684	1197.3875725867051	2409.707569705522	1817.710030865864	-0.756802495
135	2070.725328729543	2247.81720570801	3467.1037899470334	2876.1190602818288	0.412118485
267	2090.6287292754596	2159.6416057789575	3350.1163765949	2908.4222405878927	-0.279415498
358	1229.1003310280178	1283.6482176615802	2460.431913539108	1897.2691339096054	-0.756802495
89	1407.6127146572978	1355.6481134455682	2807.740883041803	2020.9760857151919	0.989358247
59	1743.93610833489	1780.9432350607538	3157.579286133353	2458.7903371812995	0.656986599
431	1378.1920021534845	1582.624542998834	2897.981264750862	2092.803038596672	0.909297427
214	2169.1937124630285	2327.164288876986	3479.712903956886	2932.85098983285	0.141120008
487	1289.4384338846235	1411.0489854921423	2603.3957857965715	1968.1851141961859	-0.756802495
454	2049.6029615586576	2230.655923169901	3482.7158397344747	2838.1647484984956	0.412118485
121	2171.170550200108	2291.2840504067026	3531.0425116216347	2984.3161406608947	0.141120008
77	1455.8676986629127	1463.6711390361138	2879.5605882754408	2102.5582776604297	0.841470985
336	2091.0009724936253	2286.907024282261	3479.4685921417295	2918.8893863158355	-0.279415498
326	1975.9534646333284	2299.5454166164586	3312.4388978203174	2818.2336414040615	0.0
315	1360.4115043432814	1349.7226297082732	2718.482863318758	2027.9247037906157	0.909297427
41	1872.6448525773444	1872.405517083007	3170.4631490623556	2575.537172336732	0.412118485
73	1316.7695323963874	1326.2609977189588	2735.592113721354	1950.2952232234013	0.989358247
396	952.750352834926	997.1486470097186	2185.3578666615767	1538.0037593403044	-0.958924275
239	2153.4840554635475	2326.9741425321313	3538.6185187308897	2992.0909853492453	-0.279415498
320	1197.4043787809621	1255.3854946018516	2359.1775650078557	1813.0450700424774	-0.756802495
407	1406.3429702266183	1502.348059118624	2643.5834064384853	2079.1907046669717	-0.756802495
238	2226.8496932313255	2272.5749228704212	3517.4130259309545	2946.4494348041903	-0.279415498
430	1452.1981594744457	1478.1759146642257	2901.891119163848	2056.8616993633977	0.989358247
330	1007.3326737995935	1107.4830031474955	2306.4659386661306	1670.4692074251495	-0.958924275
31	1456.899359251719	1603.1437521225494	2984.7013674071227	2105.5439995037505	0.989358247
478	2132.4198539961153	2357.337573511874	3364.250380874262	2956.258299785894	0.0
