N11	X	22	19.086631123433033
N1	X	22	18.94662834366633
N4	X	16	13.218528867055612
N3	X	16	12.22443282165011
N0	X	14	9.999706286519865
N2	X	11	8.676621556674727
N1	N11	8	7.266209033546511
N8	X	9	7.180090060388797
N1	N4	6	5.3726867939698035
N5	X	6	4.84333466565303
N4	N11	5	4.528894461780105
N3	N11	4	3.442109266032003
N8	N11	3	2.6818944351391134
N4	N8	3	2.6692625943015518
N1	N3	3	2.636812141470527
N2	N11	3	2.4637968713711023
N2	N3	3	2.3704080617662813
N6	X	3	2.2707194984935417
N1	N8	2	1.8319127901514525
N0	N11	2	1.7492023729198383
N1	N5	2	1.6872182221019671
N4	N5	2	1.6865791503384442
N6	N11	2	1.6780653927132478
N5	N11	2	1.675338680063722
N1	N2	2	1.6451773255258009
N9	X	2	1.6074804865745078
N0	N1	1	1.0
N1	N6	1	0.8407155885631482
N4	N6	1	0.8373498041500995
N5	N6	1	0.8373498041500995
N5	N8	1	0.8373498041500995
N6	N8	1	0.8373498041500995
N0	N5	1	0.7457573085740479
N2	N7	1	0.582531782170215
N7	X	1	0.582531782170215
N0	N2	0	0
N0	N3	0	0
N0	N4	0	0
N0	N6	0	0
N0	N7	0	0
N0	N8	0	0
N0	N9	0	0
N0	N10	0	0
N1	N7	0	0
N1	N9	0	0
N1	N10	0	0
N2	N4	0	0
N2	N5	0	0
N2	N6	0	0
N2	N8	0	0
N2	N9	0	0
N2	N10	0	0
N3	N4	0	0
N3	N5	0	0
N3	N6	0	0
N3	N7	0	0
N3	N8	0	0
N3	N9	0	0
N3	N10	0	0
N4	N7	0	0
N4	N9	0	0
N4	N10	0	0
N5	N7	0	0
N5	N9	0	0
N5	N10	0	0
N6	N7	0	0
N6	N9	0	0
N6	N10	0	0
N7	N8	0	0
N7	N9	0	0
N7	N10	0	0
N7	N11	0	0
N8	N9	0	0
N8	N10	0	0
N9	N10	0	0
N9	N11	0	0
N10	N11	0	0
N10	X	0	0
