MultiSURF Analysis Completed with ExSTraCS
Run Time (sec):1.9970343112945557
=== SCORES ===
M1P0	950.210134374288	1
N6	50.99808198380748	2
N14	49.904961682107455	3
N8	22.888755658458535	4
N4	20.085007309545745	5
M0P0	19.182433735092445	6
N15	15.674483476099795	7
N2	11.163856695851052	8
N9	7.4218338778290445	9
M0P1	1.8031031534615067	10
N5	-7.964277590860718	11
N7	-8.081504990702683	12
N11	-8.246207325275293	13
N12	-9.615933961054225	14
N10	-14.413587256828123	15
M1P1	-32.019961137671544	16
N1	-34.82215243561285	17
N0	-35.06707976865232	18
N3	-52.91598414956292	19
