InstanceID	A_0	A_1	R_0	R_1	R_2	R_3	Class
22	4634.611007268739	3617.4011515501925	4845.940772007148	6664.402215451203	4469.147447493071	3191.465308937591	1
12	4779.336983992232	3458.719218336252	7480.4948737266905	6619.880897741547	3780.5275439273646	4176.899671211206	1
52	5482.803910223003	5017.907259361202	9094.804136260116	5715.829997169883	7496.809935829442	7382.903601429994	0
3	5104.811321676631	4583.898977024413	7811.096417469491	6646.378864382789	4739.950992276983	4385.31256453217	0
19	5015.719631599675	3871.9817414178215	6992.018537671687	6646.97907546347	4334.96988674726	3844.0423694389797	0
5	3983.6171353368577	4609.515175033547	7460.104098949722	3914.8385598066343	6183.450763171466	3860.948634849589	0
60	4526.302521192769	4317.3653685441	5258.428586243947	4328.423013315914	6004.229149413569	5858.703875671093	0
58	4659.689734207322	4232.038963295645	4864.637177648095	6337.803743449818	4187.884351044607	5886.7896336661015	0
2	6001.991567239532	5422.393456146163	9704.247578630298	8091.700421073174	5788.673045789755	7694.996397403593	0
33	4851.350239904605	5011.319817966456	8263.748352320346	6563.784482475507	6705.901770113104	4229.900982497862	0
10	3756.339924302228	4060.927136631959	7789.030448719854	3903.19362854958	5989.22962710839	4063.76363789437	1
8	3038.1598977023923	2682.174355436539	6317.589928345734	3213.8693852966135	3033.6751866973086	2997.3056488581565	1
29	5404.862944969489	5187.419778562723	9459.89586621843	8048.560961183059	5617.907173433507	7582.789875942187	1
26	5026.946870517715	4366.596468605672	4877.367171673102	6666.18539434499	4286.280620558494	5853.468195909292	0
25	4888.065445170499	3616.0846815320556	4335.637143870308	5913.078899777649	4783.975241115626	3204.509246672474	0
9	3681.440532463454	3629.6382549970167	7812.992019160738	4572.372495732353	4388.1447846121755	5966.985118569799	1
44	4601.05573181268	4623.733934361873	5401.039017070718	4599.34534267006	5999.132583131247	5811.06298556213	0
18	6142.606922339264	5388.028106193543	9354.698118689208	8065.623168513035	6204.039787153974	7834.316973266017	0
62	3920.7748102398605	3547.9310306232574	3762.4844602971	3794.8569093617893	3512.9342213262776	5152.8005639464	0
11	4334.809678566523	4885.028516703187	9153.27787845162	5116.036544322989	7074.25954188328	6779.122010428675	1
47	5603.791389166418	5580.055003262272	10090.973875738726	8109.601097064855	8149.583447681826	7909.048536156333	1
40	5375.802908202382	5173.198778141115	6316.320442304287	6994.0309527744075	6740.028696439063	6721.708212969012	0
15	6084.337586485091	5778.725630558073	10562.107652144829	8639.913964856603	7959.228869561465	7928.218862687953	1
