InstanceID	A_0	A_1	R_0	R_1	R_2	R_3	Class
22	10442.1606658724	8882.12131948235	11639.905960216704	16844.660155406553	11917.756567266035	7688.4279839951605	1
12	10831.631996582102	8162.253761433901	18427.296199216682	16532.305201180858	9013.159328807513	9734.158789519886	1
52	13404.53795463299	12495.96763045423	22602.45539494335	14079.49910183304	19243.947655531036	19242.205398600603	0
3	11233.098154469058	10496.68544251608	19129.66760057915	16223.961653879489	11259.69449299689	10465.664662995312	0
19	11294.671269145034	8888.175785141393	17154.091199380433	16310.73557657257	10483.818335353544	9142.185849398094	0
5	9075.002108567529	11243.562893754217	18289.532019266793	9164.237051479935	15715.380501067426	9685.88049149482	0
60	10613.83733848968	10372.37545575363	12457.908820026707	10105.399139179906	15377.078572340046	15152.013808564017	0
58	10550.117786895347	10338.69776130995	11558.792208168361	15169.216465908818	10212.876029802881	14721.988816031047	0
2	14225.140438753184	13503.91970847295	24683.241209513322	20192.928805557003	14627.087476024357	19694.821924341708	0
33	11389.348105309362	12466.318878404185	21120.409773420288	16900.398246807486	17922.904556232992	10978.189118050874	0
10	9168.709201127025	10125.351417665814	19975.974036540603	10179.556017694174	15756.1439481656	10523.562164036583	1
8	6931.75274453413	6112.903798775167	15540.479186539944	7484.528444585141	6538.964475076203	6877.922372439791	1
29	13080.822832450833	13598.752517872133	24330.7639293356	20895.70204647596	14969.960842690694	19669.695060056227	1
26	11273.461603394257	10715.936178488519	11577.791485936694	16205.662592282464	10583.795941192073	14624.933329251842	0
25	10821.38617587881	8344.378602440254	10191.241790131124	14768.180764152099	12418.162289701908	7618.613717542599	0
9	9102.960201034435	8950.290950657263	19806.870380758373	11152.90576089041	10607.037281675663	15192.18229048184	1
44	10868.766888066346	11429.723305513546	13181.677835749046	10939.20195215172	15849.909741788993	15132.718453780066	0
18	14535.114158862916	13407.182899870702	23489.821214964588	20164.20998914713	15624.358906593165	19837.594835935583	0
62	8741.771952642008	8168.9964998847645	8471.728974158477	7991.928642244451	8007.607461642493	12702.35982336836	0
11	10927.910986491077	12371.413371971725	23356.79704023201	13134.761812347786	18579.706379579195	17633.066202660288	1
47	14054.782082824295	14377.92157049758	26072.24404633645	21386.966817002838	21797.384782712594	20869.571462403303	1
40	12624.659624683349	12846.241734774547	15772.096627272653	17682.77557925294	18144.41091507517	17464.931330387488	0
15	15052.461332738008	14918.811250350669	27008.127384930845	22491.482747186645	21379.510321086393	20610.2324052009	1
39	12300.951766459442	10674.69781091941	14999.113792121248	17629.32096547349	17289.498866291262	16896.471705789074	1
56	12646.188562082942	12610.921353262427	15516.995542245408	17675.382393370302	17977.777900481287	17767.014178529604	0
57	9426.162516708342	10771.372716796983	19957.253898402207	12191.30731827341	12118.068316857785	17340.610867792737	1
32	15435.847330456369	16244.906309874026	27441.42370392643	22160.37001950664	22662.229536400486	21805.53286959015	0
23	13040.765442719296	13257.125053406948	17913.466873085024	20270.048282282758	17211.359422604328	18014.56529108002	1
49	8385.9535442408	9610.132556754035	11596.5639507002	9292.77070211816	9066.185499093903	15184.84330367812	1
43	12118.445990354308	12471.202306120374	23185.190867847592	14238.12848745045	19300.882611636738	18453.073408257133	1
21	10903.26572783351	11808.892709592623	15137.855810930287	18187.714868499377	11182.223554382983	16588.440209560937	1
45	8264.22412398744	8636.678048312378	8895.426289451421	7120.788039764411	12521.937132373574	6642.73201575221	0
42	9093.659471937866	9754.151428413772	18878.979754591055	10455.991267889978	15926.57781924919	10050.208305503711	1
34	7288.977361352007	5882.064574005205	6984.400456179936	6420.525733690717	11278.73698035903	4834.450226568145	1
35	10852.044705295246	9250.321948654293	12696.873152947752	11055.67083303916	15044.158001310483	14628.140294071613	1
