Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	998	1000	0.9498295082877865	509	489	0.6846153846153824	0.0	1.9907041192054749
2	200	995	1000	0.9346071827160973	524	471	0.6863846153846126	0.0	2.6357935190200807
3	300	990	1000	0.9477535997941796	544	446	0.6885384615384584	0.0	3.226884583632151
4	400	977	1000	0.9506312800538363	557	420	0.6893076923076891	0.0	3.8056751171747845
5	500	971	1000	0.9370616967651163	575	396	0.6897692307692275	0.0	4.324340482552846
6	600	961	1000	0.9442721950780001	586	375	0.6909999999999963	0.0	4.833323518435161
7	700	953	1000	0.9511795233263624	598	355	0.6913846153846116	0.0	5.350610331694285
8	800	942	1000	0.9504236218206519	609	333	0.6928461538461498	0.0	5.948870003223419
9	900	933	1000	0.9461581143246864	615	318	0.6931538461538423	0.0	6.388784050941467
10	1000	919	1000	0.9520119653358838	622	297	0.69484615384615	0.0	6.803914666175842
11	1100	910	1000	0.9423251109937884	633	277	0.695999999999996	0.0	7.234560632705689
12	1200	898	1000	0.9328886709086729	636	262	0.697692307692303	0.0	7.700824530919393
13	1300	888	1000	0.9371384939432217	647	241	0.6988461538461489	0.0	8.137586847941082
14	1400	878	1000	0.9343312881487489	652	226	0.6994615384615339	0.0	8.567840099334717
15	1500	871	1000	0.9347303909483534	662	209	0.7006153846153801	0.0	8.96180089712143
16	1600	861	1000	0.8383390523351527	678	183	0.7021538461538417	0.7653890824622532	9.041044851144155
17	1700	847	1000	0.9129563280253424	689	158	0.7049999999999955	0.7603305785123967	9.112500433127085
18	1800	834	1000	0.9216762553945369	699	135	0.7054615384615341	0.762589928057554	9.180710101127625
19	1900	825	1000	0.9309883571625328	710	115	0.7082307692307653	0.7551515151515151	9.249617648124694
20	2000	812	1000	0.9223314068472778	716	96	0.7106923076923036	0.7549261083743842	9.316349983215332
21	2100	805	1000	0.9360178838112923	721	84	0.7129999999999956	0.7515527950310559	9.383098034063975
22	2200	797	1000	0.9192065545616278	721	76	0.7156153846153803	0.7603513174404015	9.443512598673502
23	2300	795	1000	0.9214260834628684	726	69	0.7167692307692262	0.7547169811320755	9.497833315531413
24	2400	795	1000	0.9266192283764829	729	66	0.7196923076923031	0.7509433962264151	9.55256233215332
25	2500	796	1000	0.9248247855074342	734	62	0.7227692307692264	0.7437185929648241	9.607389283180236
26	2600	794	1000	0.9344484023715974	733	61	0.726307692307688	0.7418136020151134	9.663287281990051
27	2700	789	1000	0.922597712077378	731	58	0.728153846153842	0.7363751584283904	9.720811565717062
28	2800	782	1000	0.9163794908012464	727	55	0.7319999999999961	0.7404092071611253	9.773045333226522
29	2900	779	1000	0.9280164977129729	724	55	0.7352307692307649	0.7329910141206675	9.82904283205668
30	3000	774	1000	0.9272702170667176	718	56	0.7375384615384576	0.7390180878552972	9.887050918738048
31	3100	772	1000	0.9274516886540712	716	56	0.7416153846153808	0.7448186528497409	9.948238003253937
32	3200	762	1000	0.9107315433990892	705	57	0.7465384615384576	0.7480314960629921	10.006419014930724
33	3300	755	1000	0.9366985595603893	700	55	0.7494615384615342	0.7536423841059603	10.058122102419535
34	3400	751	1000	0.9431637210277823	702	49	0.7515384615384575	0.7696404793608522	10.102344818909962
35	3500	740	1000	0.9244086817556869	693	47	0.7564615384615345	0.768918918918919	10.141017834345499
36	3600	735	1000	0.926476936826535	690	45	0.7576923076923037	0.7727891156462585	10.178365683555603
37	3700	738	1000	0.9326298831720626	693	45	0.758538461538457	0.7750677506775068	10.212586784362793
38	3800	730	1000	0.9274228844253238	686	44	0.7603846153846111	0.7890410958904109	10.24455988407135
39	3900	728	1000	0.93410379455375	684	44	0.7620769230769189	0.7939560439560439	10.275314084688823
40	4000	728	1000	0.9326363910200063	684	44	0.7645384615384575	0.7939560439560439	10.306424152851104
41	4100	728	1000	0.9217509717592323	686	42	0.7656153846153805	0.7980769230769231	10.33703010082245
42	4200	729	1000	0.9263568529268457	687	42	0.768538461538457	0.7873799725651578	10.367939730485281
43	4300	723	1000	0.9209654218661066	683	40	0.7701538461538415	0.7939142461964038	10.399126716454823
44	4400	720	1000	0.9317582240203126	680	40	0.7718461538461492	0.8013888888888889	10.43065909941991
45	4500	724	1000	0.9249022429923095	686	38	0.7735384615384566	0.7941988950276243	10.459214981396993
46	4600	719	1000	0.9323323672334034	681	38	0.7769230769230722	0.7983310152990264	10.489351801077525
47	4700	714	1000	0.924335713692268	676	38	0.7805384615384567	0.7997198879551821	10.518990886211395
48	4800	718	1000	0.9396984784554302	679	39	0.7818461538461492	0.8050139275766016	10.549183666706085
49	4900	720	1000	0.9352249751064862	682	38	0.7836153846153799	0.8069444444444445	10.579611003398895
50	5000	720	1000	0.9253784080275445	683	37	0.7854615384615339	0.8055555555555556	10.609831619262696
51	5100	730	1000	0.932342590986613	692	38	0.7866923076923028	0.7986301369863014	10.641746052106221
52	5200	729	1000	0.9360195331373284	692	37	0.7895384615384564	0.8052126200274349	10.672519334157307
53	5300	727	1000	0.9332163131458365	690	37	0.7906153846153793	0.7991746905089409	10.703139932950338
