InstanceID	N1	N2	X1	N3	X2	N4	Class
376	856.15705384266	887.7678873042396	3547.5195709524537	948.4843026494989	2472.4453027403456	1028.1454471152722	19.0
179	897.0194409236775	897.820455729581	3558.8026341979503	939.2470470014273	2503.4873902335585	952.4495239445362	12.0
354	954.654084824373	983.2872201228237	3528.4676210733937	988.8578083314725	2508.574892669913	1012.2309161569092	11.0
385	635.9786237224879	541.1160232983276	2814.044240918362	534.6520898510255	1776.6449496484574	788.4646978694424	20.0
173	653.7349823529844	672.0616755778957	2593.992360815056	701.6427120041251	1854.0864129460565	736.6149500628418	16.0
404	532.5714961600561	506.2741544429541	2872.1436436789745	509.8063623719881	1720.7433131874352	723.2688192621428	24.0
355	744.1028892140171	709.3783491013705	3205.579485111244	668.6745430341152	2156.131128827957	823.035800669174	18.0
38	583.733772439514	507.2001297664304	2947.483888743234	541.7736677100501	2067.178090595535	761.7216697560759	23.0
174	437.5611156510214	287.8287732246898	2598.4473486895045	416.195405290536	1477.9915961714546	546.6675617817822	24.0
378	604.3589646802052	657.4348458726246	2311.2697564386112	653.3157020937886	1531.0735751167174	659.4844951740916	18.0
481	718.9017021721284	777.9086864107037	3167.567448698371	857.7592449767342	2342.327633808839	835.9402345059707	15.0
251	312.36902678268603	280.5951712504178	1795.7033746010468	282.9842671983887	1298.9928756228367	358.77339610084636	41.0
496	389.07558677308816	427.40829605848916	2567.8787056638303	443.55750151586926	1834.3681691316585	418.1237978772526	33.0
111	330.0504171172886	318.368982763759	1781.7654836637728	218.42939176294897	1211.8022765781373	330.2532389074678	41.0
80	773.2852336006226	757.1842243776991	2725.6542785338156	840.764585998217	1970.2307572413313	818.5653613600431	11.0
63	302.0512500423065	360.3983632782748	1976.0751700871047	320.82059985232905	1460.580781992358	399.7342563711917	41.0
208	380.7725351295346	413.71544266923036	2112.549260047852	376.01896819944216	1625.3300926540828	387.6003402860172	39.0
167	823.9181194661695	911.2380019576618	3109.666706538943	837.8813480659476	2287.5258219450875	861.3023935216594	3.0
393	955.8552755085057	1008.618217321844	3535.29670112481	966.1804072434146	2457.4653689508355	1021.3881889712287	8.0
71	494.4656655320275	432.19524941077464	2017.7635121466678	406.33302783160343	1144.3038754286208	562.0741690531045	34.0
47	394.0023036576341	547.9712173195516	2204.8108706709745	510.9678300028225	1823.137732310318	621.9372887639995	30.0
227	823.5181683877327	813.73975084285	3267.0297198169774	838.1457172144648	2422.5531350955357	973.3150454980482	19.0
166	613.4766955431554	593.1995516549014	2855.863325452758	566.9125750266554	1945.5455071772142	807.4277777273021	26.0
243	373.9689279951628	352.62062657138733	1609.9620672559179	324.7580508472311	815.3805674523268	463.07373272350657	30.0
486	466.5559107622607	371.3019962622888	1943.2115303213632	418.7608108156337	1053.762265178434	570.0550962704958	32.0
78	722.8154506707881	728.0813401687426	3198.238587479684	781.4706149519048	2392.7394582791894	955.4001822852628	19.0
123	750.7221419773231	683.7550876780069	2910.9219202325635	787.4439341424373	2093.4351093731752	855.0856865524844	9.0
335	208.8437355979383	162.4294702647619	1491.3384761143104	223.40745300893832	1075.7954743534472	242.43771442230556	43.0
