InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N14	N15	M0P0	M0P1	M1P0	M1P1	Class
137	737.3400915495703	281.66237956074275	31.86701432568712	216.67723612659802	829.2994916737547	431.0985932979832	1004.5455530815861	443.06362107319075	429.0846974475744	25.107110795675744	278.2048283272333	43.44310013738852	45.85245465040568	346.2675951535174	200.68128065456224	380.68486653747055	36.45189048035168	3766.256370626837	354.0497656206076	13.8
10	818.4111494290864	333.93398354405514	130.99041545762628	306.939264771955	1001.6813682251029	615.4656200831741	2030.363569837702	571.7010781742717	634.8700498513336	147.58862083321836	421.3236989300438	191.3099578314138	181.17655640268313	903.4084826499819	301.08633728122663	586.0215418809834	210.9377706187281	3996.285059800779	491.94782320708	1.1
9	524.9471862465209	350.72179753838174	127.53778011977073	244.1190624066957	695.7280252549607	508.49181818199474	993.5979661244965	422.0991693780222	448.8250491324103	136.01387245310886	269.48907479310895	161.97908278852063	185.8701181129013	476.15435613859955	230.41122530075288	415.0163796420482	221.49671165229833	2461.1189766533303	341.70059651734005	3.0
100	623.1553926553929	209.02627637791107	0	118.74833760813155	669.6382026042921	373.5283639061258	1774.5900379987816	374.5475499634045	498.05909977416474	0	280.6199998680418	45.79727572334574	24.74872586283303	703.3173449642791	57.612507105234215	333.6024966993508	44.58707440548281	4291.832577822082	337.96381727336126	10.1
105	744.7194702888065	286.64636079182014	12.723611111111108	162.07294563717033	821.9447541790416	472.1427555298636	1487.6924131444032	460.5916248730373	411.8802147715581	15.575490377434045	321.4087525254443	56.634333740379006	23.451546404223052	610.5741656670508	187.1257027842525	369.4616381539151	20.38530154997017	4384.996982260555	355.5253063362057	10.6
153	606.7613644037073	171.94520538680513	12.791666666666664	182.15762633135088	725.2737953544497	356.75739349946986	753.3452478780299	418.5267116216878	351.9261823637993	0	184.73880727685423	33.22277640458253	19.735895745428977	266.05294070511735	168.22086925444938	315.2716097397843	24.022827622238463	3152.2908479438347	332.821597638483	16.4
14	896.1187311024132	406.1077476467559	120.03677453066688	310.5226626411378	1139.0300180198276	624.6821279666196	2405.672640978332	577.950127143385	760.021804161033	133.83201722463664	424.3938327250275	171.3601211656299	145.20063015457913	1028.8958519051691	321.47519307716783	583.7487547054642	195.9147963100667	4523.980610546335	487.6154436886177	1.5
177	745.4617421148264	254.58253216902256	12.886501736111107	169.61338053444643	807.6010058597867	435.846074984719	1144.517952960808	447.2525191741347	370.82437756615377	15.665009590669294	286.1553897325541	38.21855245353914	12.551105967078188	323.22061612584946	177.70344999655126	349.6500974377251	7.8059859307749955	3365.3464432724854	320.5781153400083	17.8
43	800.6075285507087	347.9590511888128	113.12329809113815	283.4862166769722	957.1037543919724	555.4527747190434	1268.0548737110612	546.7499976561813	641.4382934448046	110.31959900544653	343.324181479908	158.47341494021302	169.53956311413808	593.4261880322216	200.96422170563145	555.6739321334763	184.282808636471	3659.4540724738054	445.8929764442899	5.4
167	689.8022604391156	171.8676459617109	12.92725694444444	164.9956518596762	897.909204280924	404.31983577101795	1290.7168411684613	444.87484284271875	375.9711910824706	15.659189081355578	220.8762870853243	48.94052588691118	23.117876532889976	388.83810379162475	160.0853325220981	352.56452012936955	19.709710381464422	3594.2265249685197	333.8236168446304	17.8
67	885.8420476772623	395.0449200302767	109.25405191185321	286.46092480875717	1001.4877373111667	576.2794949664413	2483.6192610314474	563.9568025166352	750.4682493868531	96.98469446661375	408.2834062381484	136.90209996471714	138.74313396071915	1111.004425457728	265.3688878024902	536.4292674279689	153.69781219271644	5296.023431197973	471.570634280233	6.8
111	733.3826013935509	228.14023432088774	13.66143818966392	177.93185341911314	807.559402905	428.16202431133	1319.0378367104481	461.7640435469093	334.62539151449005	9.070136069173401	259.6762827461608	45.508921910859826	32.68069240061529	342.1050639250489	173.07576818687295	349.31250491965176	12.878652941202812	4284.2848733803185	318.8873045636877	12.2
40	623.4340748618295	376.49933694789337	111.97387716367587	241.01796144904824	860.5751344537612	551.1305809922118	1276.8452747909948	510.30148001597837	471.6941426474867	124.9136348090532	345.52399436375885	174.14918228452595	170.30797248764657	499.7414798480056	247.4009030983984	533.305908275819	176.88101499968198	3341.815717950978	486.6500711597573	4.1
15	910.4887845963323	405.37702900633684	119.88706614716742	281.0765367574778	1013.9982685348746	640.3866720903362	2301.654296363575	570.4505083235407	683.9118855522414	134.06995131118393	424.56637551285195	174.6709223497041	163.79409061564596	980.5250099653973	323.1750839062762	580.6381485287806	193.85772558387887	4458.84179394617	487.8939752061279	1.6
139	689.8668266255451	199.27373183089324	0.19533336783207633	156.24607121587195	805.7176754530744	405.6790882983309	1364.7223945117203	420.28357987898465	300.45831922020517	15.741358957826177	287.2544720287315	55.572196631437315	7.254125271353891	421.1634440823639	97.98400355844397	377.57468174428703	28.741367289273033	3965.5120472230406	314.3508566202625	14.0
37	680.287158127551	394.6251755168987	116.97802101414663	294.7627854010978	1013.0760065448853	567.3109192424499	1297.8945530367353	565.3718877368073	514.2919711068877	132.66892971071937	366.7404820718925	176.24450989220438	173.306959687002	471.315723264905	252.81398345675882	543.8153517388281	196.97941387439616	3451.3914488139803	485.8739527568506	3.8
41	790.6130686032118	312.1009110304134	108.67701003829015	260.96921327253665	937.3044333612568	514.7337234104464	2463.7837187217865	561.0714265708026	672.0008257960235	101.3797625238619	312.07439956922394	152.00536088496534	160.32620712010052	1004.9032564433169	227.81952708955433	525.6962120757204	162.01117947413638	4761.8158350653675	418.7973052694744	5.2
