InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	X	Class
991	932.8917145965571	1422.3404846763947	663.9450670382022	1212.0990957488477	1064.0084814270833	577.7553514806592	896.495345960944	490.7440287059576	1056.4405715771866	804.0133901370452	708.8803780222776	1275.6739685404789	5663.561724594825	722.489470581
485	8.369787790986415	2.8693957919483664	12.634221771000691	18.01456207774604	9.355949124571469	7.666666666666669	34.61119805597123	0	0	204.94453199992265	2.424864611333926	1.747448725053062	4418.548785461574	5911.0780478195
1363	262.44411002880594	130.40418603373288	111.61145618269828	214.99097305661002	156.80418622087217	56.512228364459084	143.136594420829	14.07526702367551	364.42895870341613	174.05316330063167	168.63478333678447	139.29166200957027	4069.9026996877615	2318.8692576475
484	965.5736638639619	1451.9577665009883	697.0061199825315	1254.4107696256567	1022.7140560080791	586.0927033399867	987.6251874592226	485.48814330415115	1116.8956020744718	959.6840206134269	689.6793378530484	1211.2763781932133	5186.400015318598	121.6463941414
12	930.2773742323801	1419.8372254951946	659.3520911392726	1129.291915550499	1077.5847408485267	610.9211138862306	1013.9218289230982	508.40839125377414	1080.9810108035424	843.675118839286	654.4653382785964	1217.674171721836	5426.27561729446	279.4873821175
977	0.7048390288965121	11.467542864178252	7.067349250463273	34.437787363921785	9.356489950807347	0	42.01820693975487	0	8.9139908541384	72.09556441742087	7.590495946056988	19.796159710900866	4421.00766453519	5462.6932373565
797	908.7754827670929	1407.8121287939748	616.6103817411017	1160.3149875425893	1001.2564557603021	562.0578749399772	939.5631076814816	505.3994507085952	1076.8577396818564	834.1714719862209	692.7353235597435	1287.5956917479348	5542.037942919665	773.9360992677
1074	537.5456176969748	839.6304197421468	178.7673471281009	524.140000759699	250.75399697987822	200.72928624267365	337.36079777274546	77.50747416124432	511.8387683704482	311.726052940358	338.31190901860793	293.7227872387301	4945.167883943283	2353.9190826578
239	914.0196466623578	1401.591137438885	618.6563587214569	1227.3358869516592	996.4520814483558	600.3354382805767	936.2382226937098	505.81270357971556	1094.4631548223429	802.4100497041169	670.8273314605311	1212.8536896252028	6468.789693433147	1657.5507767307
140	62.360867924404225	50.918805466759125	16.03886745270727	32.9339717438469	128.15844616748905	20.210664148593256	121.55265900242577	16.451699021565524	31.835256082868913	186.7465937754321	87.27236779935566	91.77838820903561	4056.900708780618	3170.1480359108
842	49.90665185534545	9.160530726591185	23.14361158334028	197.79593002900702	25.47652218281748	5.059683847777035	120.5583226473041	2.8205974195176258	46.696073409061114	104.18480821552401	143.13394113504265	40.87737632315313	4682.717924813933	5059.8812797025
1185	861.0497140468331	1369.8721566728564	585.3058891795926	1127.26165296788	967.368250773311	561.3893061772059	847.8289855538104	470.39165473632767	1030.9709480373685	765.5142769378532	685.4148938993791	1178.1391927440473	6621.177120416858	2448.4031976673
109	937.315643988532	1394.9127871831788	667.204762289186	1184.3508415104786	1014.0238644112288	573.7976142036819	960.4649427228738	499.4761291308069	1088.637173185256	883.66604614648	662.7633332525917	1233.1466897313448	4612.832540317276	6.2688961322
911	925.7194539574273	1402.5944275573368	629.5412484296272	1202.7226017898804	1007.4835409354374	563.6775301634457	982.7936636759999	503.1919431236745	1058.9489923043172	714.052803199333	668.4457618828102	1198.6671569130203	4977.002538506665	175.0297464242
1294	948.3800833370462	1404.4053920910865	654.9759616393217	1173.1447570901994	1014.5585578194333	566.9828515914829	943.0614664614513	500.6811333550239	1064.7579245555048	713.507187055425	666.9483872626087	1273.767047834816	4594.432874796136	18.3155241757
771	5.065470025647182	10.713083292069918	14.472736702424891	34.24550260031424	17.592843200217946	5.065470025647182	40.59185970636969	0	10.20145496918716	266.9924028402329	1.3008118316394386	4.768858993262342	4630.83221995027	4944.444728083
1152	2.4930623036746136	6.426971700218199	6.014559940862758	51.28667802053327	12.532065291010554	0	31.38809978291762	0	7.6584748699599885	69.75060128991555	29.051557736939646	23.02188891733662	4084.095237757563	6656.5169915414
394	934.3224337291906	1424.9622498295564	672.2869280494006	1171.0710585194545	993.8687678037271	564.616883140787	967.6040137174089	483.4487936566505	1103.950181251636	971.5488815537899	665.6132624550477	1273.608428879056	4904.050514208746	27.3873772697
1061	978.6075148419957	1412.7531699780634	616.3549533408609	1211.8343119689273	1010.1193856218081	599.0215950648521	985.5770475688388	493.56242528408626	1081.8253359249868	740.2449414797022	711.9928894836058	1189.58483823448	6540.708446859606	1599.7376985559
1164	906.3161371993771	1445.1663946344877	655.9598481432236	1159.8493766001477	1055.5308939488477	577.1776915425938	983.1360157575249	507.30207087448997	1099.1795568352904	953.0935973714231	667.9543178866229	1312.170830974418	5581.971738892927	285.3632956311
371	115.0312394457621	48.50365770800673	15.467371940155104	94.93256603989396	124.42232264150397	7.344981604006273	153.281747862093	10.778467838584696	36.89175301291317	252.19492442046354	87.05217955018388	44.96059175415458	4522.0710629929345	3464.5141501284
712	957.6233451520156	1391.0861903507544	646.3196216703892	1175.337238479385	1000.0552361089499	577.4431106648188	949.6368210328352	489.9308380753687	1099.4976623059947	867.5111239293832	661.7364751970617	1190.2365311636436	4732.944866332912	36.3542577956
902	966.472670182651	1420.0670376224166	626.4493456497637	1227.434596729488	1061.2400812749738	569.2045234288946	953.237587759803	509.23919624382546	1076.4243440932742	875.8259258422202	727.3126980165168	1195.8491909311565	6423.94075978815	1245.9641160924
1154	361.6755541239459	837.4250620829181	143.0177035196641	402.3552920531872	237.4347263803319	214.4810363725231	251.3196693130515	68.54904290917057	275.3896200300092	354.80254727837837	242.83316140776034	247.51205349705637	4657.667068304347	1946.8793263842
446	12.360952466159942	6.754959789544221	11.654313259856254	68.50601915920849	22.20467379757308	11.0	49.7222600894554	11.0	7.05269365186564	91.01507632661007	43.400416722452775	4.288893217009992	4384.880471961979	5573.1931976296
26	937.9660223321183	1435.3127394156588	619.4124906819529	1147.7974937289507	1005.4250602102168	568.416032547426	951.6308255025903	486.737933952541	1083.8305397183458	799.7388567899123	730.0224820358721	1204.5619616938827	6239.410729368918	1260.5048385175
6	917.3782693972182	1424.843249594799	676.9003514607416	1187.2530891683564	1037.0298452108648	592.1398011664957	996.6469469438365	493.0141317130709	1092.0519948530618	778.0779207900388	650.4715689735763	1174.2371400172105	5406.247703915673	416.0691304999
