X	N10	249	208.41923358466926
X	N6	248	207.49975687701854
N6	N10	248	207.49975687701854
N0	X	247	206.92676623653716
N0	N6	247	206.92676623653716
N0	N10	247	206.92676623653716
N0	N8	238	201.53787345116447
X	N8	238	201.53787345116447
N6	N8	238	201.53787345116447
N8	N10	238	201.53787345116447
N0	N9	223	192.091078938912
X	N9	223	192.091078938912
N6	N9	223	192.091078938912
N8	N9	223	192.091078938912
N9	N10	223	192.091078938912
N0	N2	191	170.42311804428752
N2	X	191	170.42311804428752
N2	N6	191	170.42311804428752
N2	N8	191	170.42311804428752
N2	N9	191	170.42311804428752
N2	N10	191	170.42311804428752
N0	N5	164	148.73197755590002
N2	N5	164	148.73197755590002
X	N5	164	148.73197755590002
N5	N6	164	148.73197755590002
N5	N8	164	148.73197755590002
N5	N9	164	148.73197755590002
N5	N10	164	148.73197755590002
N0	N7	127	118.17217482261692
N2	N7	127	118.17217482261692
X	N7	127	118.17217482261692
N5	N7	127	118.17217482261692
N6	N7	127	118.17217482261692
N7	N8	127	118.17217482261692
N7	N9	127	118.17217482261692
N7	N10	127	118.17217482261692
N0	N4	80	74.64464444428685
X	N4	80	74.64464444428685
N4	N6	80	74.64464444428685
N4	N8	80	74.64464444428685
N4	N10	80	74.64464444428685
N2	N4	79	73.9105059421475
N4	N5	79	73.9105059421475
N4	N9	79	73.9105059421475
N4	N7	78	72.98383786484405
N0	N3	42	39.73467206429954
N2	N3	42	39.73467206429954
X	N3	42	39.73467206429954
N3	N4	42	39.73467206429954
N3	N5	42	39.73467206429954
N3	N6	42	39.73467206429954
N3	N7	42	39.73467206429954
N3	N8	42	39.73467206429954
N3	N9	42	39.73467206429954
N3	N10	42	39.73467206429954
N0	N1	2	1.384362221513087
N1	X	2	1.384362221513087
N1	N6	2	1.384362221513087
N1	N8	2	1.384362221513087
N1	N10	2	1.384362221513087
N0	N11	1	0.7341385021393638
N1	N4	1	0.7341385021393638
N1	N11	1	0.7341385021393638
X	N11	1	0.7341385021393638
N4	N11	1	0.7341385021393638
N6	N11	1	0.7341385021393638
N8	N11	1	0.7341385021393638
N10	N11	1	0.7341385021393638
N1	N9	1	0.6502237193737233
N1	N2	0	0
N1	N3	0	0
N1	N5	0	0
N1	N7	0	0
N2	N11	0	0
N3	N11	0	0
N5	N11	0	0
N7	N11	0	0
N9	N11	0	0
