InstanceID	A_0	A_1	A_2	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	Class
1341	43.36280761289602	40.23805891514855	40.81997152965869	36.37469537771282	41.32893824205442	48.54810879988845	46.5912336325103	38.67273164869284	43.004361543273326	43.250188731819286	43.074376433829485	1
1075	26.629075038587793	30.304578736775824	26.305373591521207	21.53200292169665	23.07639573849074	35.92688120471841	27.948082134537472	40.24599539582591	27.42587859932648	34.76019898204847	35.16467588122379	0
366	25.24302018663998	31.57970425037807	34.991746369500945	20.9841294418216	23.451524353488157	43.00680899894294	25.489261475396606	36.73715199663615	23.58606118801544	16.653538461538457	24.479718950260207	1
446	23.49397101376918	29.80289087147514	29.296017675491104	21.837308171253813	32.52002318634133	37.157460075878134	21.062620449808694	39.31195391971694	22.475491412273886	30.12246089029954	27.559026625908043	0
838	24.895522391622183	24.271636859053572	26.65376953280889	24.989490651940056	24.994766407436316	28.500265346751725	26.52186228027886	30.435893050762214	25.528137518500163	39.048381589103336	34.45153168201893	0
1548	30.0060180910191	30.588789432032144	28.040488599114564	22.882545773530413	25.972968561622764	32.74559109697249	26.159094206385213	30.81391217222581	25.705437691867974	42.11595135348958	40.71116413115157	0
390	25.663598357517706	21.561170264794182	31.105371536306844	18.891343077164862	37.46343870116248	39.924364461375966	26.54943061258733	39.36704127356495	24.516799365157837	31.295516400127802	33.91579209331863	1
794	30.91908160777915	26.553199428243893	33.89214698436724	21.28447388675096	29.725765207879405	33.320433438195735	35.1877439727214	26.047819135678957	29.212266220986656	23.857495765239804	34.89441431358301	1
255	36.35790306298396	28.224040482130427	36.169056365127716	24.627628252089785	42.32650426804296	36.94120909188093	38.69227890759602	27.91074152796651	28.601854723203914	34.3215909289711	28.67195456467743	1
302	29.82722442986545	36.018481149771155	30.39102139919981	22.121750584952903	48.82951748433282	37.613967511198524	25.823923612810216	37.8971500555312	23.847616493967816	36.992398767951045	43.88485442819518	0
699	30.910174189966792	29.37249827120695	34.721919493514186	21.069198782556622	38.434084854669756	40.34422865492094	29.247591310066422	23.454255988441655	27.357400283336382	24.710617830325535	32.11148242232339	1
1862	36.9125703715821	31.314230871622517	38.384833210866745	22.17304916097277	48.54062345220975	46.9015741931167	31.91616923022052	38.99673001220934	26.23124496544033	33.994844120073665	36.530995146815826	1
1092	23.140025893558054	26.220975327081728	27.658076163997254	22.244489019769404	27.124319714882358	30.036020491953995	23.388069947572237	23.945638029009363	32.20322573175511	22.606585600214814	35.96573671684687	1
1125	26.542615696747948	30.331600637891995	32.170431705382285	26.87168175814108	29.970024710292773	30.54191325954955	37.40664498787221	29.902902231873014	35.67531981171611	33.430357022864484	28.156428842077883	1
447	33.33395234594666	34.03055780653257	42.86091257610944	27.559312572070272	47.86249791605848	37.563874014123364	33.52703609665781	36.717145720722506	33.92434279178202	22.24298128677932	31.893761499412484	1
246	32.11482143584131	33.616948722698055	38.9159919846404	26.61468687448968	44.81990185552515	37.240973172239705	31.15709451282663	26.715146383670408	35.25529948191268	22.055670923095683	28.399314037181274	1
1555	29.48246787450507	22.55216221561651	34.29985579210245	22.19052934740635	29.045869217097216	30.065073011977386	37.531398501799416	30.657536676900925	20.188903093973448	34.0992429387905	33.97104715521802	1
357	24.38286450622205	23.786458468607588	25.137737003794278	18.473762397163902	21.96425488940365	29.230696186377557	26.95757083810243	31.147022704699996	22.829381232307508	28.33589876895127	24.278346650220005	0
