X1	X2	137	116.32918452455473
N9	X2	47	39.72721661940041
N8	X2	32	27.712357778050986
N9	X1	29	24.718742858593103
N8	X1	22	19.53315076453804
N6	X2	16	14.612586895868846
N6	X1	9	8.422022682661034
N8	N9	8	7.502576593413145
N0	X2	7	6.276202222236919
N6	N8	5	4.784879646052435
N6	N9	4	3.8072660665420153
N0	X1	3	2.8258396129654697
N4	X2	3	2.7606115420723487
N1	X2	3	2.47032135974964
N0	N4	2	1.7606115420723487
N0	N1	2	1.7100939627720373
N3	X1	2	1.603285937526832
N3	X2	2	1.603285937526832
N0	N3	1	1.0
N0	N7	1	1.0
N0	N8	1	1.0
N0	N9	1	1.0
N0	N10	1	1.0
N1	N3	1	1.0
N1	N7	1	1.0
N1	N8	1	1.0
N1	N9	1	1.0
N1	N10	1	1.0
N1	X1	1	1.0
N3	N7	1	1.0
N3	N8	1	1.0
N3	N9	1	1.0
N3	N10	1	1.0
N4	N6	1	1.0
N4	N8	1	1.0
N4	N9	1	1.0
N7	N8	1	1.0
N7	N9	1	1.0
N7	N10	1	1.0
N7	X1	1	1.0
N7	X2	1	1.0
N8	N10	1	1.0
N9	N10	1	1.0
N10	X1	1	1.0
N10	X2	1	1.0
N4	X1	1	0.9104956108922933
N0	N2	0	0
N0	N5	0	0
N0	N6	0	0
N1	N2	0	0
N1	N4	0	0
N1	N5	0	0
N1	N6	0	0
N2	N3	0	0
N2	N4	0	0
N2	N5	0	0
N2	N6	0	0
N2	N7	0	0
N2	N8	0	0
N2	N9	0	0
N2	N10	0	0
N2	X1	0	0
N2	X2	0	0
N3	N4	0	0
N3	N5	0	0
N3	N6	0	0
N4	N5	0	0
N4	N7	0	0
N4	N10	0	0
N5	N6	0	0
N5	N7	0	0
N5	N8	0	0
N5	N9	0	0
N5	N10	0	0
N5	X1	0	0
N5	X2	0	0
N6	N7	0	0
N6	N10	0	0
