InstanceID	N1	X	N2	Class
239	2473.542541664573	5024.583516980498	2203.951504646085	48.0
69	1911.0885661728173	4333.465397018408	1670.432734061725	72.0
71	2142.6288974880913	4354.1200567865935	1959.6587131812585	20.0
152	2152.7588188796803	4066.531742270505	1468.2581460453432	136.0
217	1965.063744289028	4543.798075725359	1756.7230503235132	58.0
327	1731.5613821031136	3751.7963650654515	1188.4470283074104	130.0
20	1561.8894171835082	3675.9070816680573	1200.6431843170653	132.0
381	1306.9099227974618	4123.158142876008	1578.8811224810827	44.0
122	1362.7749042502408	3950.4071640822253	1585.4013942999527	68.0
171	2214.5940050702266	4252.499212805658	1527.0507484562788	150.0
308	2317.35370749616	4631.146377494273	1659.8405215510409	108.0
178	1657.269941973923	4226.276494878142	1731.5033032479619	28.0
251	2410.046124400749	4559.923718951973	1675.990894557519	88.0
384	1469.247123374517	4030.331943313697	1559.3034092165085	36.0
313	2386.0209899717124	4912.096481254805	2123.079612948084	48.0
378	1820.3391415070769	4218.09660082758	1725.224675730698	24.0
419	1672.0557168847115	4102.0457407781605	1603.8288516779041	68.0
352	1110.0103229147924	2889.0926950060875	906.5288590671032	178.0
108	2474.196553747487	4927.067316508681	1810.8767630112202	74.0
374	1815.5957464549963	3915.7296044538098	1306.031898065409	136.0
267	1883.6204194146844	4554.171416871822	1821.6003997421467	52.0
399	2409.530212600588	4626.017343092355	1646.771780757762	102.0
104	1607.6177453564621	2919.6035938224363	1052.89719127833	196.0
131	1601.4648310948526	4336.773300278991	1783.428335292723	42.0
372	2244.5553672019923	4923.7828267933155	1955.2413067622344	46.0
123	1393.9417475655428	3802.4285636606296	1248.4510180082304	114.0
282	2215.19866918473	4545.385977809109	1786.1318683125091	106.0
135	2424.315922127452	4773.062891143403	1875.550200213923	64.0
272	1715.0242878908657	3410.6722087104104	1222.127393875606	178.0
335	2171.7177863444745	4705.843314675409	1847.435980378827	76.0
304	2391.0975827212073	4803.201689448401	2282.7411393725756	28.0
