InstanceID	A_0	A_1	R_0	R_1	R_2	R_3	Class
22	2661.205505952381	2206.0943948412696	3048.3534226190477	3057.109375	2906.9375	2640.473958333333	1
12	4553.49080882353	3000.6840073529415	5686.477205882353	3813.2215073529414	3254.722179878049	3237.98431223099	1
52	5327.439930555556	3764.4475694444445	6836.152777777777	2649.2638888888887	4414.026041666666	4508.654513888889	0
3	5266.588848039215	4461.194818816448	6875.799890350877	3452.421875	3526.6914970930234	3496.354166666667	0
19	5441.920238095239	3836.692113095235	6521.097321428568	3148.084375	3533.0625	3020.121875	0
5	5128.841973039214	4356.916179388421	6898.956845238095	2733.75	4094.557986111111	3582.4337797619046	0
60	3239.662970779221	2909.6520833333334	3657.5096726190477	1919.0716314935066	3214.832589285714	3319.4689529220777	0
58	3295.657611184106	3058.9652513931105	3548.6785714285716	2499.3240489130435	2771.6293218085107	3315.2708574236817	0
2	5670.060723039214	4514.335130718953	7064.661458333333	3712.8524305555557	3826.098958333333	4194.977430555556	0
33	4668.111481481481	4575.642001133787	6561.395763888889	3504.164375	4301.346237244898	3669.678263888889	0
10	4477.733113700026	2787.9203532696665	5903.629203855355	2974.0355113636365	3739.6051136363635	3027.727870813397	1
8	3936.3624562324935	2434.111067343604	5507.571527777778	2514.53125	2728.075980392157	2850.42181372549	1
29	4711.200602869353	3431.7913003663	5974.093635531135	3820.882039835165	3598.2932692307695	3845.377461080586	1
26	3664.220648604268	3277.5361887915533	3607.832589285714	2623.3315116995072	2857.4910714285716	3259.2295490984293	0
25	3793.571780303029	2990.839583333332	3854.5104166666665	2704.884375	3367.2770833333334	2708.536458333333	0
9	4302.657416192284	2586.405232052499	5795.637768817204	2716.9420362903224	2898.7539772727273	3490.1074718963832	1
44	3161.453329248366	2941.8107983193277	3631.4917279411766	1932.3042279411766	3269.937893907563	3228.6976102941176	0
18	5899.172775488402	4269.066187723093	6892.171469155841	3529.28125	3917.3854166666665	4099.480628654971	0
62	2975.514741102884	2726.7504132097483	3169.518914473684	1792.923181114551	2639.902109800363	3054.953637103662	0
11	4749.277929505136	3007.9221259337073	6074.605357142857	3323.932589285714	3954.2071504237288	3715.8245611380144	1
47	5024.26207010582	3195.326004036672	6191.431658798577	3794.7599206349205	4011.810267857143	3670.283345306513	1
40	3531.0957256743545	3544.000347739692	3964.0160984848485	2980.36605497543	3600.2816924366616	3408.4697481572484	0
15	4987.211775782968	3253.2843578890925	6213.096242479885	3854.6718034897026	4011.677989130435	3796.15262834945	1
39	3367.810537319481	2032.43125	3227.25	2841.285657051282	3252.74751984127	2997.3925518925516	1
56	3673.2995535714285	3247.765625	4031.130625	2700.864375	3435.6706249999997	3572.950625	0
57	4323.366260151139	3163.686023548725	5603.341330863959	3035.227564102564	3301.1983173076924	3527.790936085973	1
32	5358.230257936508	4846.127513227513	7580.5411706349205	3913.905257936508	5292.314814814815	4974.834077380952	0
23	2943.5730135658914	2520.0167658730156	3356.9005456349205	3122.002180232558	3149.369791666667	3380.236059200812	1
49	3139.839455443981	2542.083676579905	3404.197606011184	2618.194504310345	2748.617995689655	3145.4066577353215	1
43	4750.9284226190475	2901.5616306390975	5903.988267543859	3220.8489583333335	4027.898958333333	3613.65389254386	1
21	2945.3117622873133	2720.5040629061796	3248.1378131277324	3125.8181320126228	2958.657258064516	3237.2026569299096	1
45	3017.26088900135	2966.5403273809525	3561.6885416666664	1816.4166666666667	3150.823660714286	2913.703125	0
42	4470.28630050505	2678.4630258376446	5633.805513211382	2818.751893939394	3686.5572916666665	2946.2392253325943	1
34	2981.1566176470587	1587.7683823529412	2903.376838235294	2104.7601102941176	2847.589154411765	2327.2601102941176	1
35	3268.2643037518037	1696.4378652597402	3031.386160714286	2383.6875	3113.8848214285713	2910.6848214285715	1
46	4835.669616750209	3148.879435107376	6043.579087885154	3645.463541666667	3798.675347222222	3266.2013888888887	1
20	2210.7254066222813	2176.4622345559847	2299.6556936400684	2923.8377403846152	2090.5757319819822	1873.274667937168	1
61	4704.266564258523	3417.8331401379032	5864.339830201272	3759.9213888199274	3560.9573001012145	3741.5088963376766	1
37	4557.561804631771	4074.6264963489034	6420.762906702734	2765.2215544871797	3887.4352106227107	3466.9053123295143	0
14	4827.706637876443	3088.3631071746886	6014.53740530303	3795.8863636363635	3794.846875	3409.1905303030303	1
63	4980.262415421638	3557.2398544460284	6315.194857516177	3891.2457534843206	4096.053353658537	3987.1976885266304	1
53	3123.2494604223007	2653.9370605742297	3336.121755952381	2983.2704025689222	2966.0886292016808	3188.8018223868494	1
0	6396.92851657704	5119.7399625932285	8137.3741228949475	4362.82305032077	5557.899668927648	4982.432061948677	0
38	2960.8403003246754	1970.6806630869132	2995.889064060939	2618.140625	2891.4857954545455	2458.493771853147	1
27	3391.7362599206335	2861.443055555554	3429.875	2229.8371527777776	2607.9166666666665	2384.142013888889	0
50	4667.194594103554	3822.3855400269617	5952.988420540169	2968.747360566643	3518.821460921325	3884.837746177409	0
1	5583.509606358909	4739.8552126015	7067.535524037561	3867.979055851064	4529.889113878144	3560.4703215667314	0
55	3383.4080547924295	2706.0188988095238	3695.695238095238	3126.358878968254	3417.7665307971015	3432.16856452726	1
6	5018.834332917948	3990.1489480660675	6534.869260204082	2544.8450255102043	3644.405293367347	3750.8299319727894	0
13	4702.803475140056	3006.3608242779874	5824.741099137931	3698.348125	3418.94625	3564.746724137931	1
24	4099.027781862744	3352.109803921567	4127.925919117647	2868.1528799019607	3595.5073529411766	3552.1792279411766	0
41	3388.3913605137395	3436.0838408119657	3841.0360576923076	2781.09375	3530.7983440170938	3004.393028846154	0
30	4660.80792595769	3079.587585909747	6060.738998543664	3780.9186320754716	3795.5798938679245	3473.969049644293	1
28	4397.3932705026455	2972.9655628902774	5569.773139080901	3705.9606481481483	3230.354845146871	3057.173846068677	1
59	4640.9129068847815	3275.359660131535	5937.094097222222	3333.3735795454545	4013.7339015151515	3847.7278093434343	1
31	4735.181318681319	3404.01614010989	6170.497767857143	3842.651785714286	3909.577404953917	4006.218029953917	1
7	4859.35422727394	4117.122016898864	6489.9375	2691.157072368421	3464.1326754385964	3461.4917763157896	0
16	6379.531400519981	4182.191960864803	7700.162399083193	3899.864523467433	4962.830280172414	4917.3117217432955	0
4	5662.78463601132	4491.681958291791	7662.371504237288	2753.1806144067796	4931.335555832502	4531.974576271186	0
48	5359.916430157486	3947.2068722943723	7006.006872294372	3260.6085227272724	4730.310416666667	4780.510606060606	0
51	3366.803196558678	2580.171104117877	3633.999604800937	2895.860911885246	3328.2961065573772	3386.8454405737702	1
54	4687.123628387742	3563.3825186683043	5895.116677005791	2575.226077853598	3400.183277027027	3700.0677163671116	0
36	5162.597405538302	4215.2177840434415	7217.171626984127	2871.448660714286	4712.684053884712	4464.650297619048	0
17	5482.323363095238	3516.998363095235	6542.462946428568	3352.59375	3932.578125	3202.875	0
