InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	X1	X2	Class
1304	1819.8064479622724	86.65727375939666	1114.9927211356046	786.4813146848675	1164.2890288124504	1953.0156177961228	332.9609984154952	1347.9125643915575	889.6526780619712	281.38823072457285	554.2013751971526	2987.785476445299	5003.986929556985	182.44
715	5274.127810281858	252.05121255967137	3331.0908344011136	1735.7004392113267	2313.393970504886	4875.294024730046	1047.6863602633027	3037.0142030226975	1647.8108548386936	881.2599004303394	2001.6480187701823	6331.070228370852	12942.442646717176	14.51
1320	5430.178849226953	238.6915068198894	3360.9653426477576	1767.3360108923014	2287.7658877179715	4545.9161526356465	1349.0167057923213	3374.6951935511884	1645.7885772995785	811.634469571101	1867.1082982280373	6239.442482356831	13161.901746558962	164.72
298	4524.869737551168	185.2206951760319	2784.066705427693	1588.0145763968465	2178.7702156201244	4050.6047532821326	1133.6588487057654	2882.524604502995	1458.5168598597845	705.1335310449488	1442.8591502921988	5670.993176592015	11120.230335366472	113.78
381	3459.7084048278684	67.66993059303469	2395.973749370188	1309.7191487200266	1954.2912069093536	3823.240917185138	823.3580382510963	2182.327069481973	1164.8531548525195	549.6607371182998	1445.3594121565802	5178.288800029105	9609.772826557966	159.12
1107	5319.112510062201	245.84953344105887	3212.4904530691733	1814.2996003974413	2285.8883141130286	4610.674174231463	1277.002725561232	3395.3190814182717	1694.0276562381885	943.4635918111522	1852.7316626392894	5940.957934881022	12652.24587493496	200.66
1268	2480.6744495776065	81.46085822818192	1568.0490969794923	976.0986365925955	1389.147647927218	2747.3902074569596	523.0244454548892	1738.5603798900638	1047.1031913155934	443.06155040115095	1027.72753771597	3802.4115872365423	6906.158125423521	192.44
1125	3292.55932339777	163.3993245141821	2103.413077934438	1305.7180589783184	1708.2369921689353	3572.356950783339	825.3589323254758	2421.5900866328607	1293.744386611828	531.9258407772892	1345.744259989171	4784.248949833523	8929.235445543423	49.3
419	4404.081230462089	238.28979362021684	3076.083584374953	1580.44585598386	2213.025543003105	4456.68083716391	1187.529620766813	2945.6491427601086	1548.6363824867603	617.3978141237385	1768.6387511621735	5889.4495490545305	11432.589106904568	107.2
749	5019.466519951652	234.39991512358768	3189.416030304268	1866.3779004815156	2144.83405248177	4630.031578270012	954.8696322572888	2641.529525943214	1807.667702905413	884.828121165374	2100.581606585076	5924.954681570747	12387.518758181655	105.5
184	5038.858736455604	203.39861297174926	3262.220164912276	1637.0304904553345	2198.4876342554703	4577.643825693914	1247.395061976237	3145.3270249258608	1586.6719200308953	811.258674267275	1812.1461083988563	6059.385014309127	12465.925956135745	41.97
1345	5359.6968274113715	255.914651387197	3432.3413005492575	1755.398279089734	2484.2639057029382	4961.51038407597	1181.1056035229867	3275.9238806849353	1621.8001454422304	910.767820187719	1913.8579315281563	6407.384666562136	12985.46323971176	112.67
1043	3445.6522473504924	156.88703523531845	2462.400466206524	1333.0348881374478	2004.9654266239418	3862.152138343282	876.4193114987479	2344.0088729780314	1410.568483193407	570.5801010844187	1463.7945270127102	5155.893165262352	9635.266782283094	119.05
307	3642.370187869299	132.59872024545857	2895.9507368576424	1323.3948989980324	2008.1121987514452	3946.3490872084853	796.2924663951336	2465.687218191621	1287.6789512767582	580.4879968403206	1515.4636957472853	5475.426753632947	9859.857833458056	204.2
1191	4565.566089754062	182.01934154224344	2764.104857444312	1532.4499960298483	2112.8120323189996	4218.842988004115	1217.7065763299893	2929.237695024374	1448.9215817254496	716.6768084973737	1758.7615655585998	5730.029835790036	11543.254883323723	154.12
982	3212.108017186372	126.56954778649839	2595.410405322811	1256.2173190107471	1806.5763852370565	3482.9577334942837	988.6784490686312	2098.969271952442	1385.3119609781318	515.8086904316528	1348.0019644816025	4775.039791660559	9116.240925257509	166.62
271	4300.360985088392	237.35320245980256	3016.6498425946884	1574.0597974745733	2143.445871111293	4248.275838529178	1188.9412100849238	2860.563105125401	1491.5758617272966	708.0472602348462	1586.118131609181	5580.011924576048	11012.485870343611	81.46
1190	5009.395713102052	236.28669386173246	3098.400356126695	1762.2304970749472	2079.6287433078833	4603.826645364915	935.8591893273624	2673.9684061970747	1842.147012731871	809.2590644050459	1813.8513963132098	5894.263281189919	12589.271928933807	151.01
