MultiSURF Analysis Completed with ExSTraCS
Run Time (sec):25.2730000019
=== SCORES ===
N10	302.535128148	1
N6	208.371128743	2
P1	148.116897604	3
N3	92.8736057124	4
N16	83.8675735148	5
N4	75.4416722576	6
N5	48.2476749923	7
N11	11.8360715746	8
N12	-4.01725591958	9
N14	-31.9801786914	10
N15	-34.7334115256	11
N0	-53.5530155391	12
N1	-58.4240936564	13
N17	-62.0197160547	14
N13	-80.8998128135	15
P2	-84.8877307057	16
N7	-116.810512417	17
N9	-134.095649972	18
N8	-177.140846294	19
N2	-197.120607374	20
