InstanceID	N0	N1	N2	X	N3	N4	N5	N6	N7	N8	N9	N10	N11	Class
1304	5307.671700891266	1616.4949038412933	516.0276619006786	7795.997290176516	1061.4678003775678	2396.6960584368794	1853.830475989291	4148.375587214516	392.0576048506846	5152.958312505513	1235.2047115782825	4693.870015502077	4580.309744721074	0.8123463478
715	2088.7903778457066	935.318600966723	415.65359088783816	2682.2567753896737	517.4243589311684	938.1275213017441	487.94074380833376	1864.127531889869	227.95344017379875	2088.3375367427525	756.5038011408298	2051.436851762975	2102.302911822823	-0.2329654228
1320	2133.4569437246187	941.6766047255849	441.0785292541747	2698.5838164392526	497.61445742535557	949.9598327730021	410.28680324591306	1854.873822568641	198.44113163960978	2126.8174622230927	782.1952446594489	2102.555025384504	1957.9702651890075	-0.3329673977
298	5307.106799522178	1579.9688435146168	566.8419030452992	7800.519444315113	1106.7511562005993	2396.567648859054	1891.376435618412	4131.515339030958	404.82321464610595	5142.837219228698	1226.1401618649206	4688.461358662133	4540.730484807497	0.8890026379
381	5223.856579874472	1591.409747451654	541.4804782860626	7709.202102260828	1035.0237425771252	2390.1139778611323	1873.898956603155	4110.088685931783	369.7452328833074	5115.476237491757	1182.5592442332909	4670.41331760675	4456.168793440926	0.9622803951
1107	3459.3540407344585	1099.7849765711296	422.67067306433825	4019.3140415382522	798.2450562239511	1428.9338622017965	1116.0231064226557	2550.9727720686546	304.43280137421425	3258.154755325067	952.4847839392315	2947.603799698789	2435.1447801358718	-0.0263659602
1268	2931.361950636476	762.2514848877241	490.79649847593674	5074.740349215673	892.7112850137471	1736.6729355454715	1199.3623729788587	1982.1771315820347	240.4408321449649	2605.223247736965	737.8710906394243	2153.8816597334626	2630.260355681559	0.6272580608
1125	5295.699591545197	1554.455362196583	518.8354773680693	7734.972448169184	1050.1993796651986	2397.0518208909784	1862.2417522328558	4035.2236260133554	346.41330365986835	5114.0011834376055	1203.8326548863097	4575.853365569255	4464.391210234305	-0.9623116717
419	4069.5786452642283	1127.248572697162	488.7081060667014	5615.322410219932	940.1642874017522	1860.9218925199734	1258.7660716126145	2681.797236027215	347.7838007743606	3664.1507382156437	985.364667976565	3229.1072665929505	3012.8736373671795	-0.5619122895
749	4739.44618165789	1228.9998644839386	303.7932443331659	7119.454530994067	863.0306580728532	2125.673748387501	1827.737726463705	3544.2315169579047	372.9223422326484	4555.815737277081	1108.8415198606006	4046.335582410241	4051.650914692494	-0.8528467171
184	894.2728092502142	539.2417231431682	134.59382792316077	1155.037931072625	200.43227518992816	360.91950982131505	165.46319263355733	830.964268515949	139.0751260854968	968.06712592204	263.8097708711029	896.6514755469483	924.7698047604234	0.1173349875
1345	2248.8120947918665	528.9039508262528	505.0731784239944	4287.7503197099295	912.2737017693252	1438.5194993998464	1087.6425018760726	1273.3034902866937	252.17684793244825	1927.5727898799237	432.896929634595	1467.3724032901987	1895.9871482136693	0.4716523858
1043	3441.8350482273945	867.3221187072663	530.8431585540551	4943.602371966746	980.676579491076	1686.893678580841	1128.2036310545047	2057.9584129641908	371.05713735571356	2872.211481693595	850.8099961539178	2447.478176298274	2506.6395682283346	-0.0372609698
307	3527.0839168091647	1147.5074097677143	448.3296158771085	4124.607372783393	772.9131257459389	1302.195408832247	1094.7143674020351	3001.8892808899095	307.83526591781765	3513.653605963638	971.9815975638055	3371.689520316987	2878.5094247993943	0.402599432
