Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	995	1000	0.5198266964413651	500	495	0.6878461538461517	0.0	2.4303027033805846
2	200	987	1000	0.6194291769453405	499	488	0.6886923076923053	0.0	3.4254183173179626
3	300	981	1000	0.6954804884592609	498	483	0.6887692307692281	0.0	4.381234900156657
4	400	979	1000	0.5522945902352291	496	483	0.6895384615384585	0.0	5.325262749195099
5	500	971	1000	-5.296421107553515	495	476	0.6907692307692275	0.0	6.27492235104243
6	600	963	1000	0.47797150691274554	492	471	0.6914615384615351	0.0	7.204108885924021
7	700	961	1000	0.1483591960937764	489	472	0.6919999999999964	0.0	8.16027040084203
8	800	956	1000	0.6262088053966282	485	471	0.6919230769230734	0.0	9.106905301411947
9	900	950	1000	-9.230284310733298	479	471	0.6909999999999961	0.0	10.034310869375865
10	1000	948	1000	-6.409493423399288	472	476	0.6906923076923033	0.0	10.978098332881927
11	1100	942	1000	0.5742718312852007	466	476	0.6902307692307652	0.0	11.937784651915232
12	1200	938	1000	0.6292594502110022	464	474	0.6906923076923038	0.0	12.894740335146587
13	1300	933	1000	0.6016092847306084	456	477	0.6921538461538423	0.0	13.848451133569082
14	1400	930	1000	-1.1583183339162266	451	479	0.6923846153846115	0.0	14.7995996316274
15	1500	929	1000	0.6295779110262228	441	488	0.6923076923076877	0.0	15.781847087542216
16	1600	927	1000	0.048321900387613026	430	497	0.6939999999999951	0.8230852211434736	16.171445751190184
17	1700	921	1000	0.4021366735578903	418	503	0.6961538461538406	0.8089033659066233	16.571056016286214
18	1800	912	1000	0.37554000070504323	408	504	0.6956923076923025	0.8125	16.973702267805734
19	1900	903	1000	-0.41201831098838876	393	510	0.6959999999999948	0.8117386489479512	17.368278884887694
20	2000	894	1000	0.5423527486831579	384	510	0.6967692307692255	0.8120805369127517	17.760758117834726
21	2100	886	1000	0.670058198563585	375	511	0.6983076923076872	0.8126410835214447	18.140685164928435
22	2200	884	1000	-20.96045466123805	372	512	0.6978461538461487	0.8201357466063348	18.51636878649394
23	2300	876	1000	-1124.6576535200686	361	515	0.699307692307687	0.8184931506849316	18.880487167835234
24	2400	870	1000	0.6646670536804185	352	518	0.7003076923076873	0.8149425287356322	19.235919984181724
25	2500	868	1000	0.6046903822429547	348	520	0.700076923076918	0.8168202764976958	19.587442235151926
26	2600	864	1000	0.3563845214808591	344	520	0.7009230769230718	0.8240740740740741	19.93225008646647
27	2700	863	1000	0.6495267282535735	340	523	0.7002307692307642	0.8261877172653534	20.261037866274517
28	2800	855	1000	-0.024061465538291634	339	516	0.697999999999995	0.8374269005847953	20.575136534372966
29	2900	855	1000	0.658995552754423	344	511	0.6944615384615342	0.8269005847953217	20.877918231487275
30	3000	853	1000	0.028754805405542084	343	510	0.6955384615384572	0.8323563892145369	21.161180432637533
31	3100	846	1000	-12.422410739053745	336	510	0.696230769230765	0.8498817966903073	21.42442183494568
32	3200	842	1000	0.623815669902744	333	509	0.6969999999999955	0.8622327790973872	21.66971283753713
33	3300	839	1000	-3.372125348823745	332	507	0.6984615384615339	0.8617401668653158	21.898684867223103
34	3400	839	1000	-0.3292246530527074	334	505	0.6972307692307653	0.8581644815256257	22.112781083583833
35	3500	832	1000	-6.724997959950007	339	493	0.6949230769230733	0.8605769230769231	22.309838632742565
36	3600	829	1000	0.702624648257152	353	476	0.6916153846153814	0.8431845597104946	22.49032516479492
37	3700	838	1000	0.589940368667932	363	475	0.6882307692307661	0.834128878281623	22.667974650859833
38	3800	840	1000	0.4216487735864324	364	476	0.6876153846153816	0.8285714285714286	22.84017845392227
39	3900	839	1000	-0.5398331181505877	371	468	0.6825384615384585	0.8235995232419547	23.005138818422953
40	4000	838	1000	0.661429098153064	377	461	0.6813076923076896	0.8210023866348448	23.16121108531952
41	4100	841	1000	0.47972304147401756	382	459	0.677384615384613	0.8085612366230678	23.3240527510643
42	4200	841	1000	-2.6262101798513213	383	458	0.6779999999999975	0.8049940546967895	23.485476903120677
