InstanceID	N1	N2	N3	X	N4	Class
477	439.25540255819794	280.0465160184713	225.89513190455014	985.4776840204473	271.2646934140633	100.0
421	530.0762571927706	333.8934008805096	299.1828530170866	1118.1515801343896	332.92506110747644	81.0
178	513.2355349712532	356.30656510241954	293.01088141746095	1140.6777263679637	357.8482489646869	25.0
576	31.377107230761883	24.15011185008175	0.9141964285714286	483.82100030812325	3.9141964285714286	361.0
387	491.04380183373746	357.0982535573637	297.17088637774157	1094.3111768159683	344.31080494488845	121.0
183	55.65810479064571	23.47071037948798	15.727688035311784	605.8705325144095	8.594719144038017	324.0
606	103.79197170428971	31.423237178763745	24.4523662476799	741.4682581430501	15.318616812956783	256.0
212	461.2079072768729	328.9287508974598	272.1726530419164	1066.302388540212	326.20960201024457	49.0
617	43.58355101122439	28.679566937592128	20.331586582665384	389.53528218416085	8.71475108663511	400.0
433	110.36668541380588	38.49704743363527	21.82433649496261	703.7858984805295	9.78986486462588	289.0
398	59.83060172222726	27.265316766426558	3.8687994958407224	614.9185289862847	7.597149954244663	324.0
145	509.33744472296735	325.6075092541392	283.70613047383165	1164.44640883582	327.07821735076305	36.0
3	503.3140310809099	327.425724820116	265.5055877636649	1146.2849933057053	316.5385878252936	36.0
316	134.28984515500932	62.971843112276225	35.795875281305044	687.616302378265	40.50925359364885	196.0
153	69.75098421914667	33.72596853658187	25.841304168318896	525.032001781201	16.440708008384956	361.0
616	526.1341969778582	339.5393358766815	287.0398652588234	1025.74754757204	332.81669573275315	4.0
284	53.92452543361734	23.695091333180372	12.322284590982251	514.6313874768051	9.873731476361524	361.0
494	531.3168669081964	335.85613440574554	282.7396113511807	1114.613809392336	326.89480505192137	81.0
84	78.87855534997233	27.270049189165725	10.518626026769802	669.2939194656243	9.07398113945704	289.0
567	126.21995741201384	39.82139314172658	29.372834263998396	761.4676667908273	24.972523539419466	256.0
79	480.2050508906945	324.6316327733565	279.73969464276854	1018.5441070108155	317.2335115653726	144.0
412	491.11130817187285	316.0391000486675	268.0237716047297	1042.136247857641	314.77891256375307	100.0
121	467.0222329868975	330.1584058617254	263.7722730130393	989.5830108677585	319.1907462403747	9.0
431	289.2948157094366	185.1259194237931	148.4670076939544	843.1017581289248	165.81159297463796	144.0
330	522.8659876417136	337.8336998579479	293.9968638026661	1082.3738473682831	329.0849052493284	16.0
14	19.821194066548358	8.971694094612094	0.0870192307692309	361.80791118055714	3.087019230769231	400.0
486	504.07490853788755	355.85824144884344	268.3520926962831	982.7367822298623	341.0957904778035	1.0
269	132.5064489089413	42.0454045897137	27.347285855462847	687.3824230467097	16.810410728318466	196.0
0	532.0286963432643	349.9021723430169	288.791747752108	1113.8377408463882	333.7509890135465	81.0
358	38.00343299866774	18.407096704366225	12.16348550888245	496.0115988377487	11.346887137722291	361.0
220	112.50167354569457	45.952465091439855	18.48896064082178	747.5209281623892	18.679871539627474	256.0
117	519.2789337534696	334.96145656042955	270.69971885834366	1079.226858196016	328.98311125308896	16.0
184	118.01437783670708	40.73497117342214	28.905280127333796	670.6114582914995	19.809694949824852	196.0
586	104.4392582938246	40.9451951170991	10.841902118249347	741.9327653729257	15.526281522681078	256.0
536	34.29135770880164	21.660168371201145	11.96613629664369	376.7130905209524	8.218899799912116	400.0
348	490.76115336642874	333.2718832443579	281.09454416233524	1029.666751527318	324.9801054549427	144.0
103	515.6529405565951	323.89550432901615	276.87612475834476	1016.192650290081	317.96135815837266	4.0
155	463.5997252916798	325.68140794164026	283.4818702228017	1012.7008847889603	323.328270010452	100.0
452	62.04734469296085	23.069333023587834	0.9518894993894996	615.6570711158033	4.226543192500454	324.0
589	161.87984023534372	69.37342759540995	35.23957987685155	737.4279612559831	44.56848516290823	196.0
276	77.24965480636888	34.98308539597251	19.509795291387064	671.2871209105693	17.340257434777968	289.0
614	50.82220399801698	34.335714605422595	10.856696017497892	398.5421617946487	9.863353973234002	400.0
444	489.21235267489243	317.6014475924486	278.7448198329205	1039.319649864619	317.20036071738195	100.0
560	494.685415051675	326.07473474406174	269.49279710895996	1141.7038500742033	314.41135026485574	36.0
527	84.8225822000781	29.941219603216545	15.502242430180047	716.5229515450426	10.051675470600152	256.0
239	472.3708040710355	322.6545650132126	279.77356850005737	1012.5162030336674	322.3159114830367	144.0
274	523.1958330609733	335.65899253849125	285.18559749365915	1082.2089325385532	328.3723556220805	16.0
478	479.075862597904	325.57603975450326	263.6635461352438	1081.2954552442625	317.2964063285815	49.0
118	380.98710292836546	245.57055412522112	195.26900226484614	988.730176709923	228.60734583032266	121.0
425	476.7105164066655	321.4612493803137	274.10882319081213	1032.0376556214683	321.3930420261717	100.0
